Year,Winner,Team,Goals
2011,Cristiano Ronaldo,Real Madrid,40
2012,Lionel Messi,FC Barcelona,50
2013,Lionel Messi,FC Barcelona,46
2014,Cristiano Ronaldo,Real Madrid,31
2015,Cristiano Ronaldo,Real Madrid,48
2016,Luis Suarez,FC Barcelona,40
2017,Lionel Messi,FC Barcelona,37
2018,Lionel Messi,FC Barcelona,34
2019,Lionel Messi,FC Barcelona,36
2020,Ciro Immobile,S.S. Lazio,36
